score	frequency	target
-2944018	1	chm13
-2942280	1	chm13
-2941891	1	chm13
-2941624	1	chm13
-2938469	1	chm13
-2937401	1	chm13
-2935730	1	chm13
-2934209	1	chm13
-2928913	1	chm13
-2923729	1	chm13
-2917302	1	chm13
-2914671	1	chm13
-2908263	1	chm13
-2904324	1	chm13
-2902490	1	chm13
-2899417	1	chm13
-2895398	1	chm13
-2889392	1	chm13
-2887649	1	chm13
-2876607	1	chm13
-2876223	1	chm13
-2873185	1	chm13
-2873012	1	chm13
-2865607	1	chm13
-2865114	1	chm13
-2864751	1	chm13
-2856223	1	chm13
-2854680	1	chm13
-2848996	1	chm13
-2841223	1	chm13
-2840208	1	chm13
-2838787	1	chm13
-2836107	1	chm13
-2834192	1	chm13
-2832239	1	chm13
-2828275	1	chm13
-2825850	1	chm13
-2825369	1	chm13
-2821976	1	chm13
-2820305	1	chm13
-2812542	1	chm13
-2808561	1	chm13
-2804418	1	chm13
-2790814	1	chm13
-2790687	1	chm13
-2789083	1	chm13
-2786069	1	chm13
-2784837	1	chm13
-2781408	1	chm13
-2774069	1	chm13
-2764182	1	chm13
-2755499	1	chm13
-2743138	1	chm13
-2743104	1	chm13
-2732936	1	chm13
-2730928	1	chm13
-2726755	1	chm13
-2723063	1	chm13
-2719846	1	chm13
-2719414	1	chm13
-2713667	1	chm13
-2708527	1	chm13
-2704448	1	chm13
-2703692	1	chm13
-2702678	1	chm13
-2700446	1	chm13
-2699215	1	chm13
-2697749	1	chm13
-2697729	1	chm13
-2695165	1	chm13
-2694790	1	chm13
-2679310	1	chm13
-2676231	1	chm13
-2673922	1	chm13
-2673268	1	chm13
-2668215	1	chm13
-2662087	1	chm13
-2661298	1	chm13
-2661239	1	chm13
-2659272	1	chm13
-2658906	1	chm13
-2657386	1	chm13
-2649872	1	chm13
-2646657	1	chm13
-2640354	1	chm13
-2636065	1	chm13
-2633120	1	chm13
-2627127	1	chm13
-2625896	1	chm13
-2617731	1	chm13
-2609816	1	chm13
-2608314	1	chm13
-2607563	1	chm13
-2606950	1	chm13
-2604860	1	chm13
-2603437	1	chm13
-2601046	1	chm13
-2600714	1	chm13
-2597048	1	chm13
-2596872	1	chm13
-2595282	1	chm13
-2593835	1	chm13
-2591275	1	chm13
-2583173	1	chm13
-2579504	1	chm13
-2577683	1	chm13
-2571585	1	chm13
-2569426	1	chm13
-2569160	1	chm13
-2567459	1	chm13
-2564456	1	chm13
-2564185	1	chm13
-2562925	1	chm13
-2560078	1	chm13
-2557427	1	chm13
-2551312	1	chm13
-2550894	1	chm13
-2549831	1	chm13
-2548983	1	chm13
-2546997	1	chm13
-2546572	1	chm13
-2544367	1	chm13
-2537587	1	chm13
-2536957	1	chm13
-2536372	1	chm13
-2528006	1	chm13
-2522719	1	chm13
-2522461	1	chm13
-2519951	1	chm13
-2514980	1	chm13
-2512551	1	chm13
-2510886	1	chm13
