score_per_base	frequency	target
-1.47636	1	chm13
-1.47622	1	chm13
-1.47617	1	chm13
-1.47600	1	chm13
-1.47593	1	chm13
-1.47592	1	chm13
-1.47576	1	chm13
-1.47555	1	chm13
-1.47537	2	chm13
-1.47532	1	chm13
-1.47515	1	chm13
-1.47499	1	chm13
-1.47451	1	chm13
-1.47438	1	chm13
-1.47433	1	chm13
-1.47426	1	chm13
-1.47403	1	chm13
-1.47339	1	chm13
-1.47311	1	chm13
-1.47308	1	chm13
-1.47292	1	chm13
-1.47279	1	chm13
-1.47246	1	chm13
-1.47234	1	chm13
-1.47233	1	chm13
-1.47229	1	chm13
-1.47218	1	chm13
-1.47180	1	chm13
-1.47142	1	chm13
-1.47134	1	chm13
-1.47124	1	chm13
-1.47094	1	chm13
-1.47081	1	chm13
-1.47073	1	chm13
-1.47047	1	chm13
-1.47032	1	chm13
-1.47029	1	chm13
-1.47026	1	chm13
-1.47017	1	chm13
-1.47014	1	chm13
-1.47010	1	chm13
-1.47005	1	chm13
-1.47002	1	chm13
-1.47000	1	chm13
-1.46990	1	chm13
-1.46987	1	chm13
-1.46950	1	chm13
-1.46948	1	chm13
-1.46943	1	chm13
-1.46936	1	chm13
-1.46928	1	chm13
-1.46916	1	chm13
-1.46894	1	chm13
-1.46883	2	chm13
-1.46834	1	chm13
-1.46818	1	chm13
-1.46813	1	chm13
-1.46806	1	chm13
-1.46775	1	chm13
-1.46747	1	chm13
-1.46739	1	chm13
-1.46706	1	chm13
-1.46684	1	chm13
-1.46683	1	chm13
-1.46661	1	chm13
-1.46634	1	chm13
-1.46582	1	chm13
-1.46567	1	chm13
-1.46560	1	chm13
-1.46558	1	chm13
-1.46554	1	chm13
-1.46552	1	chm13
-1.46548	1	chm13
-1.46546	1	chm13
-1.46545	1	chm13
-1.46513	1	chm13
-1.46506	1	chm13
-1.46490	1	chm13
-1.46469	1	chm13
-1.46455	1	chm13
-1.46434	1	chm13
-1.46433	1	chm13
-1.46427	1	chm13
-1.46407	1	chm13
-1.46385	1	chm13
-1.46365	1	chm13
-1.46356	1	chm13
-1.46354	1	chm13
-1.46336	1	chm13
-1.46331	1	chm13
-1.46283	1	chm13
-1.46271	1	chm13
-1.46253	1	chm13
-1.46251	1	chm13
-1.46240	1	chm13
-1.46239	1	chm13
-1.46236	1	chm13
-1.46226	1	chm13
-1.46166	1	chm13
-1.46163	1	chm13
-1.46153	1	chm13
-1.46151	1	chm13
-1.46143	1	chm13
-1.46133	1	chm13
-1.46095	1	chm13
-1.46093	1	chm13
-1.46089	1	chm13
-1.46086	1	chm13
-1.46056	1	chm13
-1.46047	1	chm13
-1.46032	1	chm13
-1.46024	1	chm13
-1.46021	1	chm13
-1.46012	1	chm13
-1.46009	1	chm13
-1.45987	1	chm13
-1.45981	1	chm13
-1.45977	1	chm13
-1.45975	1	chm13
-1.45968	1	chm13
-1.45964	1	chm13
-1.45935	1	chm13
-1.45934	1	chm13
-1.45896	1	chm13
-1.45886	1	chm13
-1.45870	1	chm13
-1.45854	1	chm13
-1.45853	1	chm13
-1.45851	1	chm13
-1.45819	1	chm13
-1.45817	1	chm13
-1.45803	1	chm13
-1.45802	1	chm13
-1.45782	1	chm13
-1.45742	1	chm13
-1.45741	1	chm13
-1.45688	1	chm13
-1.45681	1	chm13
-1.45678	1	chm13
-1.45672	1	chm13
-1.45666	1	chm13
-1.45662	1	chm13
-1.45658	1	chm13
-1.45648	1	chm13
-1.45646	1	chm13
-1.45639	1	chm13
-1.45632	1	chm13
-1.45605	1	chm13
-1.45559	2	chm13
-1.45545	1	chm13
-1.45524	1	chm13
-1.45464	1	chm13
-1.45460	1	chm13
-1.45458	1	chm13
